State,District,Crop,Year,Production,Area,Season
Punjab,Ludhiana,Wheat,2020,4500,1000,Rabi
Punjab,Amritsar,Rice,2020,3200,900,Kharif 
Haryana,Karnal,Wheat,2020,4200,950,Rabi
Haryana,Ambala,Rice,2020,3000,850,Kharif
UP,Meerut,Sugarcane,2020,5500,1200,Kharif
UP,Agra,Wheat,2020,4000,1050,Rabi
Punjab,Ludhiana,Wheat,2021,4500,1000,Rabi
Punjab,Amritsar,Rice,2021,3200,900,Kharif
Haryana,Karnal,Wheat,2021,4200,950,Rabi
Haryana,Ambala,Rice,2021,3000,850,Kharif
UP,Meerut,Sugarcane,2021,5500,1200,Kharif
UP,Agra,Wheat,2021,4000,1050,Rabi
Punjab,Ludhiana,Wheat,2022,4500,1000,Rabi
Punjab,Amritsar,Rice,2022,3200,900,Kharif
Haryana,Karnal,Wheat,2022,4200,950,Rabi
Haryana,Ambala,Rice,2022,3000,850,Kharif
UP,Meerut,Sugarcane,2022,5500,1200,Kharif
UP,Agra,Wheat,2022,4000,1050,Rabi
Punjab,Ludhiana,Wheat,2023,4500,1000,Rabi
Punjab,Amritsar,Rice,2023,3200,900,Kharif
Haryana,Karnal,Wheat,2023,4200,950,Rabi
Haryana,Ambala,Rice,2023,3000,850,Kharif
UP,Meerut,Sugarcane,2023,5500,1200,Kharif
UP,Agra,Wheat,2023,4000,1050,Rabi
Punjab,Ludhiana,Wheat,2024,4500,1000,Rabi
Punjab,Amritsar,Rice,2024,3200,900,Kharif
Haryana,Karnal,Wheat,2024,4200,950,Rabi
Haryana,Ambala,Rice,2024,3000,850,Kharif
UP,Meerut,Sugarcane,2024,5500,1200,Kharif
UP,Agra,Wheat,2024,4000,1050,Rabi
